Duration(s),StartTime,Operator,IsValid,FailReason,Station,SkillName
101.000585571,2026-02-04T11:13:28.884Z,n_mora,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Set up a hand lamp
108.175161348,2026-02-04T11:18:50.547Z,n_mora,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Set up a hand lamp
112.587866691,2026-02-04T14:05:48.668Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Set up a hand lamp
158.712756158,2026-02-04T14:08:30.144Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Set up a hand lamp
110.92494775,2026-02-04T14:11:46.371Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Set up a hand lamp
46.988224647,2026-02-04T14:14:16.747Z,d_vargas,False,TOO_SHORT (47.0s < 90.0s) | BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Set up a hand lamp
364.694962454,2026-02-04T14:20:03.399Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Fasten nuts onto bolts
135.413709408,2026-02-04T14:27:45.740Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Fasten nuts onto bolts
266.28737699,2026-02-04T14:43:10.425Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Thread a needle
218.090740348,2026-02-04T14:48:57.449Z,d_vargas,True,BAD_HZ /camera_l/ffmpeg (0.0/30.0) | BAD_HZ /camera_r/ffmpeg (0.0/30.0),4,Thread a needle
